name,year,parameters,title,paper_with_code,paper_link,flops,multiadds,fp_bp_ratio,training_epochs,training_set_size,training_dataset,training_time_total,training_time_total_sec,training_time_tpu_core_days,training_gpu_model,training_gpu_amount,training_gpu_ptp_gflops,training_tpu_model,training_tpu_amount,training_tpu_ptp_gflops,training_cpu_model,training_cpu_amount,training_cpu_ptp_gflops,pretraining_epochs,pretraining_set_size,pretraining_dataset,pretraining_time_total,pretraining_time_total_sec,pretraining_time_tpu_core_days,pretraining_gpu_model,pretraining_gpu_amount,pretraining_gpu_ptp_gflops,pretraining_tpu_model,pretraining_tpu_amount,pretraining_tpu_ptp_gflops,pretraining_cpu_model,pretraining_cpu_amount,pretraining_cpu_ptp_gflops,finetuning_epochs,finetuning_set_size,finetuning_dataset,finetuning_time_total,finetuning_time_total_sec,finetuning_time_tpu_core_days,finetuning_gpu_model,finetuning_gpu_amount,finetuning_gpu_ptp_gflops,finetuning_tpu_model,finetuning_tpu_amount,finetuning_tpu_ptp_gflops,finetuning_cpu_model,finetuning_cpu_amount,finetuning_cpu_ptp_gflops,network_operations,hardware_burden,log10net,log10hw,computing_power,comments,relevant,(TOP 1 score),(TOP 5 score)
ResNet-50 + tricks,2018,2.50E+07,Bag of Tricks for Image Classification with Convolutional Neural Networks,/paper/bag-of-tricks-for-image-classification-with,https://arxiv.org/pdf/1812.01187v2.pdf,4.30E+09,,3,120,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E+18,,18.29698093,,1.2E+19,,,79.29,94.63
PS-KD (ResNet-152 + CutMix),2020,,Self-Knowledge Distillation with Progressive Refinement of Targets,/paper/self-knowledge-distillation-a-simple-way-for,https://arxiv.org/pdf/2006.12000v3.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.24,94.66
Multiscale DEQ (MDEQ-XL),2020,8.10E+07,Multiscale Deep Equilibrium Models,/paper/multiscale-deep-equilibrium-models,http://proceedings.neurips.cc/paper/2020/hash/3812f9a59b634c2a9c574610eaba5bed-Abstract.html,,,3,,1280000,ImageNet 1K,,,,Quadro RTX 8000,8,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.20,94.5
ResNet-101 (JFT-300M Finetuning),2017,,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era,/paper/revisiting-unreasonable-effectiveness-of-data,https://arxiv.org/pdf/1707.02968v2.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.20,94.7
DenseNet-264,2016,,Densely Connected Convolutional Networks,/paper/densely-connected-convolutional-networks,https://arxiv.org/pdf/1608.06993v5.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.20,94.71
AA-ResNet-152,2019,6.16E+07,Attention Augmented Convolutional Networks,/paper/190409925,https://arxiv.org/pdf/1904.09925v5.pdf,2.38E+10,,3,100,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14E+18,,18.96090818,,4.5E+19,,,79.10,94.6
ResNet-50 (UDA),2019,,Unsupervised Data Augmentation for Consistency Training,/paper/unsupervised-data-augmentation-1,https://arxiv.org/pdf/1904.12848v6.pdf,,,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,16,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.05,94.49
Xception,2017,2.29E+07,Xception: Deep Learning with Depthwise Separable Convolutions,/paper/xception-deep-learning-with-depthwise,https://arxiv.org/pdf/1610.02357v3.pdf,,8.38E+09,3,,1280000,ImageNet 1K,3 days,2.59E+05,,Tesla K80,60,5.60E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7E+19,,19.93997427,8.7E+19,,,79.00,94.5
SpineNet-143,2019,6.05E+07,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization,/paper/spinenet-learning-scale-permuted-backbone-for,https://arxiv.org/pdf/1912.05027v3.pdf,9.10E+09,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00,94.4
InceptionV3 (FRN layer),2019,,Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks,/paper/filter-response-normalization-layer,https://arxiv.org/pdf/1911.09737v2.pdf,,,3,,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.95,94.49
ResNet-152 + SWA,2018,,Averaging Weights Leads to Wider Optima and Better Generalization,/paper/averaging-weights-leads-to-wider-optima-and,https://arxiv.org/pdf/1803.05407v3.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.94,
ECA-Net (ResNet-152),2019,5.74E+07,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,/paper/eca-net-efficient-channel-attention-for-deep,https://arxiv.org/pdf/1910.03151v4.pdf,1.08E+10,,3,100,1280000,ImageNet 1K,,,,GeForce RTX 2080 Ti,4,1.34E+04,,,,Intel Silver 4112,1,332.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15E+18,,18.61775498,,2.3E+19,,,78.92,94.55
MixNet-L,2019,7.30E+06,MixConv: Mixed Depthwise Convolutional Kernels,/paper/mixnet-mixed-depthwise-convolutional-kernels,https://arxiv.org/pdf/1907.09595v3.pdf,5.65E+08,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.90,94.2
Inception V3,2018,2.38E+07,Rethinking the Inception Architecture for Computer Vision,/paper/learning-transferable-architectures-for,https://arxiv.org/abs/1707.07012,4.80E+09,,3,100,1280000,ImageNet 1K,,,,Tesla K80,50,5.60E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84E+18,,18.26557246,,1.1E+19,,,78.80,94.4
SGE-ResNet101,2019,4.46E+07,Spatial Group-wise Enhance: Improving Semantic Feature Learning in Convolutional Networks,/paper/spatial-group-wise-enhance-improving-semantic,https://arxiv.org/pdf/1905.09646v2.pdf,7.86E+09,,3,100,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02E+18,,18.47975377,,1.7E+19,,,78.80,94.368
ResNet-50,2020,,Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup,/paper/puzzle-mix-exploiting-saliency-and-local-1,https://proceedings.icml.cc/static/paper_files/icml/2020/6618-Paper.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76,94.29
RepMLP-Res50,2021,5.28E+07,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition,/paper/repmlp-re-parameterizing-convolutions-into,https://arxiv.org/abs/2105.01883v1,,,3,,1280000,ImageNet 1K,,,,GeForce GTX 1080 Ti,8,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.60,
ResNet-152,2015,,Deep Residual Learning for Image Recognition,/paper/deep-residual-learning-for-image-recognition,https://arxiv.org/pdf/1512.03385.pdf,,1.13E+10,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57,94.29
ResNet-50-DW (Deformable Kernels),2019,,Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation,/paper/deformable-kernels-adapting-effective,https://arxiv.org/pdf/1910.02940v2.pdf,4.60E+09,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.50,
SRM-ResNet-101,2019,4.47E+07,SRM : A Style-based Recalibration Module for Convolutional Neural Networks,/paper/srm-a-style-based-recalibration-module-for,https://arxiv.org/pdf/1903.10829v1.pdf,7.62E+09,,3,90,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63E+18,,18.42052871,,1.5E+19,,,78.47,94.2
MobileViT,2021,,"MobileViT: Light-weight, General-purpose, and Mobile-friendly Vision Transformer",/paper/mobilevit-light-weight-general-purpose-and,https://arxiv.org/pdf/2110.02178v1.pdf,,,3,300,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.40,
"ResNet-50 + DropBlock (0.9 kp, 0.1 label smoothing)",2018,,DropBlock: A regularization method for convolutional networks,/paper/dropblock-a-regularization-method-for,https://arxiv.org/abs/1810.12890,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.35,94.15
ResNet-152,2017,,IDK Cascades: Fast Deep Learning by Learning not to Overthink,/paper/idk-cascades-fast-deep-learning-by-learning,https://arxiv.org/abs/1706.00885,,1.13E+10,3,100,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68E+18,,18.93843966,,4.3E+19,,,78.30,
EfficientNet-B0 (CondConv),2019,,CondConv: Conditionally Parameterized Convolutions for Efficient Inference,/paper/soft-conditional-computation,https://arxiv.org/pdf/1904.04971v3.pdf,,4.13E+08,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.30,
CSPResNeXt-50 (10 crop),2019,2.05E+07,CSPNet: A New Backbone that can Enhance Learning Capability of CNN,/paper/cspnet-a-new-backbone-that-can-enhance,https://arxiv.org/pdf/1911.11929v1.pdf,7.90E+10,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.20,94.3
WRN-50-2-bottleneck,2017,6.89E+07,Wide Residual Networks,/paper/wide-residual-networks,https://arxiv.org/pdf/1605.07146v4.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.10,93.97
Perceiver (FF),2021,4.49E+07,Perceiver: General Perception with Iterative Attention,/paper/perceiver-general-perception-with-iterative,https://arxiv.org/abs/2103.03206v2,7.07E+11,,3,120,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,64,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26E+20,,20.51293188,,1.0E+21,,,78.00,
HVT-S-1,2021,2.17E+07,Scalable Visual Transformers with Hierarchical Pooling,/paper/scalable-visual-transformers-with,https://arxiv.org/abs/2103.10619v1,2.40E+09,,3,300,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76E+18,,18.44166372,,1.6E+19,,,78.00,93.83
ACNet (ResNet-50),2019,2.94E+07,Adaptively Connected Neural Networks,/paper/adaptively-connected-neural-networks,https://arxiv.org/pdf/1904.03579v1.pdf,,,3,,1280000,ImageNet 1K,,,,GeForce Titan Xp,8,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.50,
Prodpoly,2020,,Deep Polynomial Neural Networks,/paper/deep-polynomial-neural-networks,https://arxiv.org/abs/2006.13026v2,,,3,90,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,4,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.17,93.569
Inception v3,2018,,What do Deep Networks Like to See?,/paper/what-do-deep-networks-like-to-see,https://arxiv.org/pdf/1803.08337v1.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.12,93.25
GreedyNAS-A,2020,6.50E+06,GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet,/paper/greedynas-towards-fast-one-shot-nas-with,http://openaccess.thecvf.com/content_CVPR_2020/html/You_GreedyNAS_Towards_Fast_One-Shot_NAS_With_Greedy_Supernet_CVPR_2020_paper.html,3.66E+08,,3,,1280000,ImageNet 1K,7 gpu days,6.05E+05,,Tesla V100 PCIe 32 GB,1,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5E+18,,18.93175394,8.5E+18,,,77.10,93.3
SkipblockNet-L,2021,7.10E+06,Bias Loss for Mobile Neural Networks,/paper/bias-loss-for-mobile-neural-networks,https://arxiv.org/pdf/2107.11170v3.pdf,3.64E+08,,3,,1280000,ImageNet 1K,,,,GeForce RTX 2080 Ti,2,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.10,93.4
SSAL-Resnet50,2021,,Contextual Classification Using Self-Supervised Auxiliary Models for Deep Neural Networks,/paper/contextual-classification-using-self,https://arxiv.org/abs/2101.03057v1,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.00,93.8
SCARLET-A,2020,6.70E+06,SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,/paper/scarletnas-bridging-the-gap-between,https://arxiv.org/pdf/1908.06022v5.pdf,,3.65E+08,3,,1280000,ImageNet 1K,10 GPU days,8.64E+05,,Tesla V100 PCIe 32 GB,1,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2E+19,,19.0866559,1.2E+19,,,76.90,93.4
"Perona Malik (Perona and Malik, 1990)",2020,,Learning Visual Representations for Transfer Learning by Suppressing Texture,/paper/learning-visual-representations-for-transfer-1,https://arxiv.org/abs/2011.01901v2,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,3 days,2.59E+05,,GeForce GTX 1080 Ti,4,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,1.2E+19,,19.07029655,1.2E+19,,,76.71,
MnasNet-A3,2019,5.20E+06,MnasNet: PlatformAware Neural Architecture Search for Mobile,/paper/mnasnet-platform-aware-neural-architecture,https://arxiv.org/pdf/1807.11626v3.pdf,,4.03E+08,3,,1280000,ImageNet 1K,4.5 days,3.89E+05,,,,,Cloud TPU v2,64,1.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5E+21,,21.65117874,4.5E+21,,,76.70,93.3
MUXNet-l,2020,4.00E+06,MUXConv: Information Multiplexing in Convolutional Neural Networks,/paper/muxconv-information-multiplexing-in,http://openaccess.thecvf.com/content_CVPR_2020/html/Lu_MUXConv_Information_Multiplexing_in_Convolutional_Neural_Networks_CVPR_2020_paper.html,,3.18E+08,3,,1280000,ImageNet 1K,11 days,9.50E+05,,GeForce RTX 2080 Ti,16,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0E+20,,20.31065182,2.0E+20,,,76.60,93.2
"ResNet-50 (X-volution, stage3)",2021,,X-volution: On the unification of convolution and self-attention,/paper/x-volution-on-the-unification-of-convolution,https://arxiv.org/abs/2106.02253v2,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60,93.3
VGG-19,2015,,Very Deep Convolutional Networks for Large-Scale Image Recognition,/paper/very-deep-convolutional-networks-for-large,https://arxiv.org/pdf/1409.1556v6.pdf,,,3,,1280000,ImageNet 1K,3 weeks,1.81E+06,,GeForce GTX Titan Black,4,5.12E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7E+19,,19.57011388,3.7E+19,,,76.30,93.2
LR-Net-26-NL,2019,3.71E+07,Local Relation Networks for Image Recognition,/paper/190411491,https://arxiv.org/pdf/1904.11491v1.pdf,5.60E+09,,3,110,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37E+18,,18.37391194,,1.4E+19,,,76.00,92.8
ResNet-50 MLPerf v0.7 - 2512 steps,2021,,"A Large Batch Optimizer Reality Check: Traditional, Generic Optimizers Suffice Across Batch Sizes",/paper/a-large-batch-optimizer-reality-check,https://arxiv.org/abs/2102.06356v3,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.92,
MoGA-A,2020,5.10E+06,Searching Beyond MobileNetV3,/paper/moga-searching-beyond-mobilenetv3,https://arxiv.org/pdf/1908.01314v4.pdf,,3.04E+08,3,,1280000,ImageNet 1K,6 days,5.18E+05,,Tesla V100 PCIe 32 GB,2,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5E+19,,19.16583715,1.5E+19,,,75.90,92.8
FractalNet-34,2016,,FractalNet: Ultra-Deep Neural Networks without Residuals,/paper/fractalnet-ultra-deep-neural-networks-without,https://arxiv.org/pdf/1605.07648v4.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.88,92.61
CoordConv ResNet-50,2018,,An Intriguing Failing of Convolutional Neural Networks and the CoordConv Solution,/paper/an-intriguing-failing-of-convolutional-neural,https://arxiv.org/pdf/1807.03247v2.pdf,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.74,92.75
PReLUNet-C,2015,,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,,https://arxiv.org/pdf/1502.01852v1.pdf,,,3,,1280000,ImageNet 1K,4 weeks,2.42E+06,,Tesla K40,8,3.52E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8E+19,,19.83384079,6.8E+19,,,75.73,92.62
RESNASNet,2019,5.36E+06,RENAS: Reinforced Evolutionary Neural Architecture Search,/paper/dicenet-dimension-wise-convolutions-for,https://arxiv.org/abs/1906.03516,2.98E+08,,3,200,1280000,ImageNet 1K,1.5 days,1.30E+05,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+17,,17.35957748,,1.8E+18,,,75.70,
DiCENet,2019,,DiCENet: Dimension-wise Convolutions for Efficient Networks,,https://arxiv.org/pdf/1808.00193.pdf,,5.80E+08,3,300,1280000,ImageNet 1K,3 days,2.59E+05,,GeForce GTX 1080 Ti,4,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E+18,1.2E+19,18.12591047,19.07029655,1.2E+19,,,75.70,92.6
GhostNet,2019,7.30E+06,GhostNet: More Features from Cheap Operations,/paper/ghostnet-more-features-from-cheap-operations,https://arxiv.org/pdf/1911.11907v2.pdf,2.26E+08,,3,,1280000,ImageNet 1K,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.70,92.7
AlphaX-1,2019,5.40E+06,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,/paper/alphax-exploring-neural-architectures-with-1,https://arxiv.org/abs/1903.11059,,5.79E+08,3,200,1280000,ImageNet 1K,8 GPU days,6.91E+05,,GeForce GTX 1080 Ti,1,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89E+17,7.8E+18,17.94906978,18.89420529,7.8E+18,,,75.50,92.2
"PAWS (ResNet-50, 10 labels, 300 epochs)",2021,,Semi-Supervised Learning of Visual Features by Non-Parametrically Predicting View Assignments with Support Samples,/paper/semi-supervised-learning-of-visual-features,https://arxiv.org/abs/2104.13963v2,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 16 GB,64,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.50,
ShuffleNet V2,2018,,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,/paper/shufflenet-v2-practical-guidelines-for,https://arxiv.org/pdf/1807.11164v1.pdf,5.97E+08,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.40,
ShuffleNet,2017,,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,/paper/shufflenet-an-extremely-efficient,https://arxiv.org/pdf/1707.01083v2.pdf,5.27E+08,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.30,89.8
DenseNAS-A,2020,,Densely Connected Search Space for More Flexible Neural Architecture Search,/paper/densely-connected-search-space-for-more,https://arxiv.org/pdf/1906.09607v3.pdf,3.61E+08,,3,,1280000,ImageNet 1K,64 hours,2.30E+05,,GeForce Titan Xp,1,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6E+18,,18.41810541,2.6E+18,,,75.30,
DY-MobileNetV2 ×1.0,2019,1.11E+07,Dynamic Convolution: Attention over Convolution Kernels,/paper/dynamic-convolution-attention-over,https://arxiv.org/pdf/1912.03458v2.pdf,,3.13E+08,3,300,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21E+17,,17.85802681,,5.0E+18,,,75.20,92.1
MobileNet V3-Large 1.0,2019,5.40E+06,Searching for MobileNetV3,/paper/searching-for-mobilenetv3,https://arxiv.org/pdf/1905.02244v5.pdf,,2.19E+08,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,2,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20,
Single-Path NAS,2019,,Single-Path NAS: Designing Hardware-Efficient ConvNets in less than 4 Hours,/paper/single-path-nas-designing-hardware-efficient,https://arxiv.org/pdf/1904.02877v1.pdf,,,3,,1280000,ImageNet 1K,3.75 hours,1.35E+04,,,,,Cloud TPU v2,1,1.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4E+18,,18.38560627,2.4E+18,,,74.96,92.21
ESPNetv2,2018,5.90E+06,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network",/paper/espnetv2-a-light-weight-power-efficient-and,https://arxiv.org/pdf/1811.11431v3.pdf,6.02E+08,,3,300,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94E+17,,17.84104897,,4.8E+18,,,74.90,
FBNet-C,2018,5.50E+06,FBNet: Hardware-Aware Efficient ConvNet Design via Differentiable Neural Architecture Search,/paper/fbnet-hardware-aware-efficient-convnet-design,https://arxiv.org/pdf/1812.03443v3.pdf,3.75E+08,,3,360,1280000,ImageNet 1K,216 hours,7.78E+05,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+17,,17.71466499,,3.7E+18,,,74.90,
FF,2021,,Do You Even Need Attention? A Stack of Feed-Forward Layers Does Surprisingly Well on ImageNet,/paper/do-you-even-need-attention-a-stack-of-feed,https://arxiv.org/abs/2105.02723,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90,
MobileNetV2 (1.4),2018,,MobileNetV2: Inverted Residuals and Linear Bottlenecks,/paper/mobilenetv2-inverted-residuals-and-linear,https://arxiv.org/pdf/1801.04381v4.pdf,,5.85E+08,3,,1280000,ImageNet 1K,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.70,
"TreeCell-B with CondenseNet (G1 = 4, G3 = 8)",2018,,Path-Level Network Transformation for Efficient Architecture Search,/paper/path-level-network-transformation-for,https://arxiv.org/abs/1806.02639,,5.94E+08,3,,1280000,ImageNet 1K,200 hours,7.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.60,91.9
Proxyless,2018,,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,/paper/proxylessnas-direct-neural-architecture,https://arxiv.org/pdf/1812.00332v2.pdf,,,3,,1280000,ImageNet 1K,200 hours,7.20E+05,,Tesla V100 PCIe 32 GB,1,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0E+19,,19.00747466,1.0E+19,,,74.60,92.2
DARTS,2019,4.70E+06,DARTS: Differentiable Architecture Search,/paper/alphax-exploring-neural-architectures-with-1,https://arxiv.org/pdf/1806.09055.pdf,,5.74E+08,3,,1280000,ImageNet 1K,12 days,1.04E+06,,GeForce GTX 1080 Ti,1,1.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2E+19,,19.07029655,1.2E+19,,,73.30,91.3
Wide ResNet-50 (edge-popup),2019,2.06E+07,What's Hidden in a Randomly Weighted Neural Network?,/paper/whats-hidden-in-a-randomly-weighted-neural,https://arxiv.org/pdf/1911.13299v2.pdff,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.30,
MobileNet-224 (CGD),2019,,Compact Global Descriptor for Neural Networks,/paper/compact-global-descriptor-for-neural-networks,https://arxiv.org/abs/1907.09665,,,3,,1280000,ImageNet 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.56,90.92
SPPNet,2015,,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,/paper/spatial-pyramid-pooling-in-deep-convolutional,https://arxiv.org/pdf/1406.4729v4.pdf,,,3,,1280000,ImageNet 1K,4 weeks,2.42E+06,,GeForce GTX Titan,1,4.50E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1E+19,,19.03685533,1.1E+19,,,72.14,90.86
ResNet-50,2019,,On the adequacy of untuned warmup for adaptive optimization,/paper/on-the-adequacy-of-untuned-warmup-for,https://arxiv.org/pdf/1910.04209v3.pdf,,,3,,1280000,ImageNet 1K,,,,Tesla V100 PCIe 32 GB,8,1.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.10,
ResNet-18 (PAD-L2 w/ ResNet-34 teacher),2021,,"torchdistill: A Modular, Configuration-Driven Framework for Knowledge Distillation",/paper/torchdistill-a-modular-configuration-driven,https://arxiv.org/abs/2011.12913v2,,,3,,1280000,ImageNet 1K,28hrs 34mins,1.03E+05,,GeForce RTX 2080 Ti,3,1.34E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1E+18,,18.61790873,4.1E+18,,,71.71,
Heteroscedastic (InceptionResNet-v2),2021,,Correlated Input-Dependent Label Noise in Large-Scale Image Classification,/paper/correlated-input-dependent-label-noise-in,https://arxiv.org/pdf/2105.10305.pdf,,,3,,1280000,ImageNet 1K,,,,,,,Cloud TPU v3,2,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.60,87.1
